auctionItemId,auctionHouse,imageUrl,listingType,dateOfSale,grade,salePrice,certNumber
-5469164454082073962,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5469164454082073962/7294691913687870373.jpg,Auction,2025-02-20T00:40:40,8,306.33,24651126
-9185789031628860866,eBay,https://d1w8cc2yygc27j.cloudfront.net/-9185789031628860866/2082006685438276386.jpg,Auction,2025-02-13T02:07:00,4,36,92310770
-565100727258496177,eBay,https://d1w8cc2yygc27j.cloudfront.net/-565100727258496177/3016994981605052486.jpg,Auction,2025-02-10T02:22:22,3,31,87862235
3355355502144586125,eBay,https://d1w8cc2yygc27j.cloudfront.net/3355355502144586125/-1665974376952918434.jpg,Auction,2025-02-05T03:00:01,6,86,06341687
8953906166322406490,eBay,https://d1w8cc2yygc27j.cloudfront.net/8953906166322406490/3950511678137084554.jpg,Auction,2025-02-02T19:02:41,2,24.5,45620530
-8520018925836384589,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8520018925836384589/-6670146937307715417.jpg,Auction,2025-02-01T01:27:41,2,21.5,96398127
-179770977911433302,eBay,https://d1w8cc2yygc27j.cloudfront.net/-179770977911433302/6783604244687971787.jpg,Auction,2025-01-26T01:51:14,5,96,78713782
4244325652645434252,eBay,https://d1w8cc2yygc27j.cloudfront.net/4244325652645434252/7283554279124752246.jpg,Auction,2025-01-25T01:07:28,6,122.5,72618181
1696998171822331037,eBay,https://d1w8cc2yygc27j.cloudfront.net/1696998171822331037/2599368910397905494.jpg,Auction,2025-01-24T03:00:01,8,311,05000674
741191948486214130,eBay,https://d1w8cc2yygc27j.cloudfront.net/741191948486214130/-5283133209569613129.jpg,Auction,2025-01-22T03:40:01,8,343.06,95575024
-5190448636130255131,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5190448636130255131/-170518033074948499.jpg,Auction,2025-01-20T01:04:00,8,331.52,100119688
2151069548967990838,eBay,https://d1w8cc2yygc27j.cloudfront.net/2151069548967990838/-5138969497936592476.jpg,Auction,2025-01-13T16:37:39,4,33,87874162
8113176052489551010,eBay,https://d1w8cc2yygc27j.cloudfront.net/8113176052489551010/-606093035886763888.jpg,Auction,2025-01-12T03:54:20,6,62.99,71053377
2498331561230713945,eBay,https://d1w8cc2yygc27j.cloudfront.net/2498331561230713945/-1101705188600495125.jpg,Auction,2025-01-11T02:13:00,2.5,39.99,89032639
4060174785659472106,eBay,https://d1w8cc2yygc27j.cloudfront.net/4060174785659472106/-2853323766615226924.jpg,Auction,2025-01-08T13:42:58,9,1128.13,04015873
8226574579065358798,eBay,https://d1w8cc2yygc27j.cloudfront.net/8226574579065358798/7712860508932018277.jpg,Auction,2024-12-27T21:58:59,8,314,90213482
-772690777856512146,eBay,https://d1w8cc2yygc27j.cloudfront.net/-772690777856512146/5193373457352723288.jpg,Auction,2024-12-23T21:20:43,5,67.89,73972030
1699091016909400535,eBay,https://d1w8cc2yygc27j.cloudfront.net/1699091016909400535/3166805423913123122.jpg,Auction,2024-12-22T01:46:33,5,32,30280763
-5370100984770400987,eBay,https://d1w8cc2yygc27j.cloudfront.net/-5370100984770400987/8646347466221996586.jpg,Auction,2024-12-14T02:46:00,6,86,93985818
-2694666489057603919,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2694666489057603919/1133260171322038168.jpg,Auction,2024-12-14T01:17:01,3,23.5,96058608
4268765532373105094,eBay,https://d1w8cc2yygc27j.cloudfront.net/4268765532373105094/6983993198872956664.jpg,Auction,2024-12-11T03:01:00,6,107.67,97884140
-1145160589271777776,eBay,https://d1w8cc2yygc27j.cloudfront.net/-1145160589271777776/7686749520544230459.jpg,Auction,2024-12-10T22:41:08,7,193.5,96186780
-4958417031760780191,eBay,https://d1w8cc2yygc27j.cloudfront.net/-4958417031760780191/8572616065537523005.jpg,Auction,2024-12-10T02:59:37,5,46,98241667
-2807181415131082708,eBay,https://d1w8cc2yygc27j.cloudfront.net/-2807181415131082708/7290986508113619714.jpg,Auction,2024-12-08T22:16:05,4,34,30280762
-6308890737125804737,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6308890737125804737/-6955833643823785260.jpg,Auction,2024-12-06T03:45:24,6,95,66167465
-7194004351259448147,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7194004351259448147/-4885989504699201409.jpg,Auction,2024-12-06T02:37:00,1,15.33,51616066
-8285201241443660077,eBay,https://d1w8cc2yygc27j.cloudfront.net/-8285201241443660077/-2514318896036028035.jpg,Auction,2024-12-04T02:15:01,8.5,520,73514282
-6751910577989428573,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6751910577989428573/-8990802713297986524.jpg,Auction,2024-12-03T23:45:48,6,109.5,96186781
465535546043789610,eBay,https://d1w8cc2yygc27j.cloudfront.net/465535546043789610/-7419114827090890594.jpg,Auction,2024-12-02T21:12:09,5,66,95760961
-1067900652880454727,eBay,https://d1w8cc2yygc27j.cloudfront.net/-1067900652880454727/-1919521611803473890.jpg,Auction,2024-12-02T02:05:00,2,15.5,99135230
-619722330170963061,eBay,https://d1w8cc2yygc27j.cloudfront.net/-619722330170963061/-7761440542450571192.jpg,Auction,2024-11-29T02:25:21,2.5,21.99,89032639
-3677199252506559831,eBay,https://d1w8cc2yygc27j.cloudfront.net/-3677199252506559831/-7877392254432896027.jpg,Auction,2024-11-26T05:00:23,8,139.5,42179496
3210131164354552083,eBay,https://d1w8cc2yygc27j.cloudfront.net/3210131164354552083/-5772470546756853759.jpg,Auction,2024-11-26T00:00:01,7,169.5,96186779
778732614480442176,eBay,https://d1w8cc2yygc27j.cloudfront.net/778732614480442176/3474660367949644782.jpg,Auction,2024-11-25T03:12:00,8,320,64858726
1337290297452153160,eBay,https://d1w8cc2yygc27j.cloudfront.net/1337290297452153160/-8682956395654778999.jpg,Auction,2024-11-25T02:04:00,4,44.22,95429711
1660529965667367765,eBay,https://d1w8cc2yygc27j.cloudfront.net/1660529965667367765/-6404398141041464270.jpg,Auction,2024-11-25T00:30:00,4,36,87444022
-7499886789945881141,eBay,https://d1w8cc2yygc27j.cloudfront.net/-7499886789945881141/-207242970450885448.jpg,Auction,2024-11-22T00:34:42,5,44.05,95967376
-291264335771762928,eBay,https://d1w8cc2yygc27j.cloudfront.net/-291264335771762928/2735954793085739143.jpg,Auction,2024-11-21T16:32:12,6,51.76,98854831
-822185089142537204,eBay,https://d1w8cc2yygc27j.cloudfront.net/-822185089142537204/-134907540176794236.jpg,Auction,2024-11-21T03:15:01,5,53,97440839
-3592021004688989241,eBay,https://d1w8cc2yygc27j.cloudfront.net/-3592021004688989241/1300451051659541116.jpg,Auction,2024-11-21T03:05:01,7,155.5,58522150
-6367036330234603333,eBay,https://d1w8cc2yygc27j.cloudfront.net/-6367036330234603333/-4113680039373292793.jpg,Auction,2024-11-20T04:00:01,4,41.21,84244165
2781763356393786598,eBay,https://d1w8cc2yygc27j.cloudfront.net/2781763356393786598/-5693448980645965698.jpg,Auction,2024-11-18T02:43:00,6,81.09,72944242
